game_id,drive_number,field_pos,time_remaining,is_half_one,is_half_two,UTM,score_differential,pos_team TOL,def_time TOL,result,yds_gained / 10,actual_yds_gained,field_goal_attempt,field_goal_distance
2013090500 - 3,1,80,1800,1,0,0,0,3,3,fourth_down,0,8,0,NA
2013090500 - 7,2,77,1690,1,0,0,0,3,3,fourth_down,1,18,0,NA
2013090500 - 14,3,80,1569,1,0,0,0,3,3,touchdown,NA,NA,0,NA
2013090500 - 26,4,80,1331,1,0,0,-7,3,3,fourth_down,4,41,0,NA
2013090500 - 34,5,90,1119,1,0,0,7,3,3,fourth_down,2,21,0,NA
2013090500 - 44,6,71,885,1,0,0,-7,3,3,fourth_down,1,13,0,NA
2013090500 - 51,7,85,777,1,0,0,7,3,3,turnover,NA,NA,0,NA
2013090500 - 54,8,24,700,1,0,0,-7,3,3,touchdown,NA,NA,0,NA
2013090500 - 57,9,80,695,1,0,0,0,3,3,fourth_down,4,40,0,NA
2013090500 - 67,10,1,488,1,0,0,0,3,3,touchdown,NA,NA,0,NA
2013090500 - 70,11,80,483,1,0,0,-7,3,3,touchdown,NA,NA,0,NA
2013090500 - 79,12,80,334,1,0,0,0,3,3,fourth_down,0,-4,0,NA
2013090500 - 83,13,49,247,1,0,0,0,3,3,fourth_down,-1,-11,0,NA
2013090500 - 88,14,84,199,1,0,0,0,3,3,fourth_down,7,77,1,25
2013090500 - 107,16,80,1800,0,1,0,-3,3,3,touchdown,NA,NA,0,NA
2013090500 - 115,17,80,1650,0,1,0,-4,3,3,fourth_down,0,-6,0,NA
2013090500 - 119,18,10,1568,0,1,0,4,3,3,touchdown,NA,NA,0,NA
2013090500 - 123,19,80,1528,0,1,0,-11,3,3,fourth_down,0,3,0,NA
2013090500 - 127,20,63,1446,0,1,0,11,3,3,touchdown,NA,NA,0,NA
2013090500 - 138,21,80,1297,0,1,0,-18,3,3,fourth_down,0,9,0,NA
2013090500 - 142,22,74,1195,0,1,0,18,3,3,fourth_down,1,10,0,NA
2013090500 - 148,23,91,1089,0,1,0,-18,3,3,fourth_down,0,2,0,NA
2013090500 - 155,24,58,1000,0,1,0,18,3,3,fourth_down,0,4,0,NA
2013090500 - 159,25,88,955,0,1,0,-18,3,3,fourth_down,1,14,0,NA
2013090500 - 164,26,56,886,0,1,0,18,3,3,touchdown,NA,NA,0,NA
2013090500 - 173,27,80,793,0,1,0,-25,3,3,fourth_down,0,9,0,NA
2013090500 - 178,28,80,726,0,1,0,-25,2,3,touchdown,NA,NA,0,NA
2013090500 - 185,29,80,628,0,1,0,18,3,2,fourth_down,0,7,0,NA
2013090500 - 189,30,69,487,0,1,0,-18,2,3,fourth_down,5,57,1,30
2013090500 - 199,31,80,329,0,1,0,15,2,2,touchdown,NA,NA,0,NA
2013090500 - 204,32,80,270,0,1,0,-22,2,2,fourth_down,0,7,0,NA
2013090500 - 211,33,83,139,0,1,0,22,2,2,end_of_half,NA,NA,0,NA
2013090800 - 219,1,86,1796,1,0,0,0,3,3,fourth_down,4,42,0,NA
2013090800 - 228,2,90,1625,1,0,0,0,2,3,turnover,NA,NA,0,NA
2013090800 - 230,3,16,1593,1,0,0,0,3,2,touchdown,NA,NA,0,NA
2013090800 - 235,4,80,1546,1,0,0,-7,2,3,fourth_down,1,18,0,NA
2013090800 - 243,5,50,1410,1,0,0,7,3,2,fourth_down,2,20,1,48
2013090800 - 253,6,80,1187,1,0,0,-10,2,3,fourth_down,0,2,0,NA
2013090800 - 260,7,75,1046,1,0,0,10,3,2,fourth_down,2,28,0,NA
2013090800 - 268,8,72,831,1,0,0,-10,2,3,fourth_down,2,28,0,NA
2013090800 - 274,9,80,702,1,0,0,10,3,2,fourth_down,0,7,0,NA
2013090800 - 278,10,92,642,1,0,0,-10,2,3,fourth_down,0,7,0,NA
2013090800 - 282,11,54,593,1,0,0,10,3,2,defensive_touchdown,NA,NA,0,NA
2013090800 - 288,12,73,499,1,0,0,4,3,2,fourth_down,3,36,0,NA
2013090800 - 296,13,89,305,1,0,0,-4,2,3,turnover,NA,NA,0,NA
2013090800 - 301,14,32,225,1,0,0,4,3,2,touchdown,NA,NA,0,NA
2013090800 - 307,15,80,115,1,0,1,-11,2,3,fourth_down,0,8,0,NA
2013090800 - 311,16,75,71,1,0,1,11,3,2,turnover,NA,NA,0,NA
2013090800 - 313,17,37,63,1,0,1,-11,2,3,touchdown,NA,NA,0,NA
2013090800 - 319,19,80,1800,0,1,0,-4,3,3,touchdown,NA,NA,0,NA
2013090800 - 332,20,80,1563,0,1,0,-3,3,3,fourth_down,7,79,0,NA
2013090800 - 347,21,86,1152,0,1,0,3,3,3,fourth_down,2,26,0,NA
2013090800 - 355,22,97,975,0,1,0,-3,3,3,fourth_down,0,4,0,NA
2013090800 - 360,23,42,928,0,1,0,3,3,3,fourth_down,0,-2,0,NA
2013090800 - 364,24,85,857,0,1,0,-3,3,3,fourth_down,7,70,1,33
2013090800 - 375,25,88,644,0,1,0,0,3,3,fourth_down,3,37,0,NA
2013090800 - 382,26,86,521,0,1,0,0,3,3,fourth_down,2,29,0,NA
2013090800 - 390,27,80,351,0,1,0,0,3,3,fourth_down,0,4,0,NA
2013090800 - 394,28,66,271,0,1,0,0,3,3,fourth_down,4,49,1,35
2013090800 - 412,29,80,5,0,1,1,-3,0,2,end_of_half,NA,NA,0,NA
2013090809 - 417,2,59,1791,1,0,0,2,3,3,turnover,NA,NA,0,NA
2013090809 - 429,3,80,1396,1,0,0,-2,3,3,fourth_down,4,40,0,NA
2013090809 - 440,4,91,1108,1,0,0,2,3,3,fourth_down,0,6,0,NA
2013090809 - 446,5,54,913,1,0,0,-2,3,3,fourth_down,0,-5,0,NA
2013090809 - 451,6,96,851,1,0,0,2,3,3,fourth_down,3,35,0,NA
2013090809 - 460,7,80,556,1,0,0,-2,3,3,fourth_down,0,0,0,NA
2013090809 - 465,8,69,459,1,0,0,2,3,3,turnover,NA,NA,0,NA
2013090809 - 466,9,49,452,1,0,0,-2,3,3,touchdown,NA,NA,0,NA
2013090809 - 482,10,80,44,1,0,1,-5,3,3,end_of_half,NA,NA,0,NA
2013090809 - 485,11,80,1800,0,1,0,-5,3,3,fourth_down,0,8,0,NA
2013090809 - 489,12,69,1725,0,1,0,5,3,3,fourth_down,0,4,0,NA
2013090809 - 493,13,91,1644,0,1,0,-5,3,3,fourth_down,0,-1,0,NA
2013090809 - 497,14,45,1521,0,1,0,5,3,3,fourth_down,3,37,1,26
2013090809 - 509,15,77,1163,0,1,0,-8,3,3,fourth_down,0,7,0,NA
2013090809 - 513,16,72,1103,0,1,0,8,3,3,fourth_down,2,22,0,NA
2013090809 - 524,17,84,875,0,1,0,-8,3,3,fourth_down,3,33,0,NA
2013090809 - 530,18,88,740,0,1,0,8,3,3,fourth_down,6,62,1,44
2013090809 - 543,19,93,357,0,1,0,-11,3,3,fourth_down,0,-2,0,NA
2013090809 - 547,20,17,293,0,1,0,11,3,3,fourth_down,0,8,1,27
2013090809 - 554,21,75,228,0,1,0,-14,1,3,touchdown,NA,NA,0,NA
2013090809 - 567,22,45,82,0,1,1,7,3,0,end_of_half,NA,NA,0,NA
2013090808 - 571,1,80,1800,1,0,0,0,3,3,fourth_down,0,8,0,NA
2013090808 - 575,2,83,1704,1,0,0,0,3,3,fourth_down,1,19,0,NA
2013090808 - 580,3,82,1598,1,0,0,0,3,3,touchdown,NA,NA,0,NA
2013090808 - 588,4,77,1408,1,0,0,-7,3,3,fourth_down,2,24,0,NA
2013090808 - 594,5,45,1225,1,0,0,7,3,3,fourth_down,4,40,1,23
2013090808 - 603,6,80,988,1,0,0,-10,3,3,fourth_down,5,50,1,48
2013090808 - 617,7,80,653,1,0,0,7,3,3,turnover,NA,NA,0,NA
2013090808 - 618,8,31,636,1,0,0,-7,3,3,touchdown,NA,NA,0,NA
2013090808 - 623,9,80,550,1,0,0,0,3,3,fourth_down,3,36,0,NA
2013090808 - 631,10,80,349,1,0,0,0,3,3,fourth_down,6,67,1,31
2013090808 - 642,11,80,107,1,0,1,-3,2,3,fourth_down,1,14,0,NA
2013090808 - 649,12,84,30,1,0,1,3,2,2,end_of_half,NA,NA,0,NA
2013090808 - 653,13,80,1800,0,1,0,3,3,3,fourth_down,0,-9,0,NA
2013090808 - 657,14,59,1719,0,1,0,-3,3,3,touchdown,NA,NA,0,NA
2013090808 - 664,15,80,1601,0,1,0,-4,3,3,touchdown,NA,NA,0,NA
2013090808 - 679,16,80,1282,0,1,0,-3,2,2,fourth_down,0,-6,0,NA
2013090808 - 683,17,67,1187,0,1,0,3,2,2,turnover,NA,NA,0,NA
2013090808 - 684,18,55,1179,0,1,0,-3,2,2,fourth_down,0,1,0,NA
2013090808 - 688,19,97,1076,0,1,0,3,2,2,fourth_down,5,55,0,NA
2013090808 - 700,20,91,774,0,1,0,-3,2,2,fourth_down,2,22,0,NA
2013090808 - 707,21,72,564,0,1,0,3,2,2,fourth_down,6,68,1,22
2013090808 - 719,22,80,192,0,1,0,-6,2,1,fourth_down,7,77,0,NA
2013090808 - 732,23,80,43,0,1,1,6,1,0,end_of_half,NA,NA,0,NA
2013090807 - 736,1,80,1800,1,0,0,0,3,3,fourth_down,0,6,0,NA
2013090807 - 747,2,71,1605,1,0,0,0,3,2,fourth_down,3,33,0,NA
2013090807 - 752,3,97,1470,1,0,0,0,2,3,safety,NA,NA,0,NA
2013090807 - 757,4,68,1404,1,0,0,2,3,2,fourth_down,0,6,0,NA
2013090807 - 761,5,58,1316,1,0,0,-2,2,3,fourth_down,0,-9,0,NA
2013090807 - 766,6,92,1177,1,0,0,2,3,2,fourth_down,0,1,0,NA
2013090807 - 770,7,44,1126,1,0,0,-2,2,3,touchdown,NA,NA,0,NA
2013090807 - 777,8,80,967,1,0,0,-5,3,2,fourth_down,5,55,1,43
2013090807 - 792,9,80,661,1,0,0,2,2,3,fourth_down,3,35,0,NA
